site_name,survey_id,year,depth,visibility,count,family,genus,species,common_name
New Providence,3239,2016,3,4,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3223,2016,4,4,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,3309,2016,4.6,4,1,Carcharhinidae,Rhizoprionodon,sp.,Sharpnose shark (Atlantic/Carib)
New Providence,3235,2016,4.8,4,1,Dasyatidae,Hypanus,americanus,Southern stingray
New Providence,3267,2016,5.9,4,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3273,2016,5.9,4,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
New Providence,3273,2016,5.9,4,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
New Providence,3273,2016,5.9,4,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3285,2016,6.1,4,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3206,2016,6.1,4,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
New Providence,3285,2016,6.1,4,1,Dasyatidae,Hypanus,americanus,Southern stingray
New Providence,3264,2016,6.7,4,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
New Providence,3208,2016,7,4,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
New Providence,3276,2016,7,4,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3283,2016,7,4,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3254,2016,7.3,4,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
New Providence,3272,2016,7.3,4,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3272,2016,7.3,4,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
New Providence,3263,2016,7.3,4,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
New Providence,3277,2016,7.5,4,3,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3308,2016,8.2,4,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3326,2016,8.2,4,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,3308,2016,8.2,4,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,3322,2016,8.5,4,1,Carcharhinidae,Rhizoprionodon,sp.,Sharpnose shark (Atlantic/Carib)
New Providence,3252,2016,8.6,4,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3229,2016,9.2,4,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
New Providence,3229,2016,9.2,4,3,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3244,2016,10.8,4,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3268,2016,11.5,4,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3217,2016,11.7,6,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,495,2016,13.6,6,1,Dasyatidae,Hypanus,americanus,Southern stingray
New Providence,3226,2016,13.7,6,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
New Providence,3238,2016,13.9,6,1,Carcharhinidae,Unknown,sp.,Requiem Shark
Andros,3313,2016,18.2,6,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3313,2016,18.2,6,1,Sphyrnidae,Sphyrna,mokarran,Great hammerhead shark
Andros,3331,2016,18.5,6,1,Carcharhinidae,Unknown,sp.,Requiem Shark
New Providence,3251,2016,18.5,6,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3257,2016,18.9,6,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3332,2016,19,6,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3332,2016,19,6,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3256,2016,19.8,6,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3215,2016,20.5,6,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3271,2016,20.8,6,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3288,2016,20.8,6,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
