id,species_id,count,survey_id,comment
1,18,1,22451,camera flipped over
2,28,1,3323,
3,18,1,530,
4,23,1,3284,
5,23,3,3277,
6,18,1,3264,
7,23,1,3321,
8,292,1,3238,
9,24,1,3275,
10,24,1,403,shark has laceration in dorsal fin
11,18,2,22297,
12,24,1,240,
13,292,1,3281,
14,24,1,456,
15,24,2,3332,
16,28,1,251,lots of plastic on reef
17,23,1,3283,
18,23,1,22427,
19,150,1,22455,
20,23,1,404,
21,18,1,3273,
22,23,1,22279,
23,18,1,22441,
24,23,1,3220,
25,23,1,3310,
26,23,1,22433,
27,24,1,490,
28,24,1,3259,
29,28,1,3235,
30,24,1,3256,
31,23,1,3276,swarming blue tangs!
32,23,1,22429,
33,24,1,250,
34,23,2,22426,
35,23,1,22434,
36,23,1,484,
37,23,1,3292,
38,18,1,3206,
39,28,1,454,
40,17,2,485,
41,23,1,3244,
42,18,1,523,
43,150,1,22438,
44,24,3,3284,
45,24,1,3255,
46,19,1,3208,
47,18,1,22419,
48,18,1,22456,
49,28,1,22431,
50,28,1,407,
51,28,1,4,
52,28,1,474,
53,24,1,3271,
54,28,1,22420,
55,23,2,261,
56,51,1,414,
57,23,1,22437,
58,24,1,527,
59,26,1,432,
60,23,5,22267,
61,28,1,22442,
62,18,1,494,
63,21,1,22276,
64,23,1,22309,
65,23,1,451,
66,24,2,492,
67,23,1,22431,
68,292,1,254,
69,24,1,460,
70,24,2,3330,
71,24,1,524,
72,23,1,3252,
73,23,1,22293,
74,24,1,476,
75,24,1,241,
76,18,1,533,
77,24,2,3335,
78,24,1,3334,
79,17,1,3322,tried to carry off camera
80,18,1,22424,
81,26,1,256,
82,17,1,3292,
83,150,1,22283,
84,19,1,3272,
85,23,1,3225,
86,24,1,3279,visibility obscured by rope
87,28,1,439,
88,28,1,5,
89,292,1,529,
90,23,1,419,
91,23,1,459,
92,23,1,452,
93,292,1,3314,
94,50,1,22465,
95,18,1,3281,
96,24,1,254,
97,24,1,489,
98,18,1,448,
99,23,1,3217,
100,18,1,22425,
101,23,3,3229,
102,292,1,3331,
103,23,1,3272,
104,20,1,459,
105,23,1,22461,
106,24,2,3250,
107,23,1,3317,
108,28,1,414,
109,28,1,495,
110,24,2,3262,
111,23,1,3304,
112,23,1,22460,
113,23,1,426,
114,23,2,22422,
115,28,1,3307,
116,24,2,231,
117,23,1,455,
118,24,1,252,
119,23,1,470,
120,24,1,523,
121,24,1,534,
122,150,1,22447,
123,28,1,3240,
124,21,1,3259,
125,18,2,3294,lots of algae on reef
126,23,1,22428,
127,23,1,240,
128,23,2,259,pod of dolphins visible in background
129,23,1,458,
130,28,1,423,
131,17,1,431,
132,18,1,451,fish competing with shark for bait
133,24,1,475,
134,24,1,3215,
135,23,1,22274,
136,20,1,240,
137,28,1,431,
138,292,1,487,
139,23,1,403,
140,24,1,425,
141,150,1,22446,
142,28,1,429,
143,24,1,461,
144,23,1,494,
145,24,1,229,
146,24,1,3321,
147,24,1,3307,
148,23,1,453,
149,24,1,3251,
150,24,3,3324,
151,23,1,234,
152,24,1,433,
153,28,1,3223,
154,18,1,528,
155,18,1,3316,
156,24,1,414,
157,23,1,22424,
158,24,1,532,
159,23,1,22439,
160,23,1,22444,
161,18,1,402,
162,26,1,419,
163,24,1,233,
164,24,1,405,
165,24,2,454,
166,24,1,3268,
167,19,1,234,
168,19,1,256,
169,23,1,3324,
170,23,1,3335,
171,18,1,3336,
172,23,1,448,
173,28,1,3285,
174,24,1,3265,
175,18,3,22284,
176,23,1,22269,
177,18,1,452,
178,28,1,3279,
179,19,1,3288,
180,18,1,470,
181,23,1,260,
182,24,1,3292,
183,18,1,3263,
184,24,1,3298,
185,23,1,22297,
186,23,1,22458,
187,28,1,472,
188,28,1,3334,
189,24,1,3319,
190,24,1,3310,
191,23,1,424,
192,23,1,436,
193,24,1,22279,
194,23,1,22430,
195,24,1,404,
196,23,1,22284,
197,28,2,440,
198,23,1,530,
199,26,1,446,
200,24,1,261,
201,23,1,477,
202,24,2,3257,
203,23,1,22464,
204,28,1,408,
205,28,1,416,
206,28,1,490,
207,28,1,492,
208,18,1,3308,
209,24,1,528,
210,18,3,491,
211,23,1,471,
212,23,1,476,
213,28,1,22423,
214,19,1,252,
215,21,1,22283,
216,23,1,22268,
217,24,1,3239,
218,150,2,22282,
219,24,1,262,
220,19,1,3254,
221,23,1,460,
222,28,1,481,
223,24,2,3313,
224,24,1,253,
225,23,2,22294,
226,24,1,474,
227,18,1,3297,
228,23,1,3285,
229,28,1,22425,
230,19,1,3273,
231,24,1,22300,
232,23,1,22272,
233,24,1,455,
234,23,1,3332,
235,24,1,496,
236,28,1,234,
237,17,1,488,
238,292,1,3225,
239,24,1,3267,
240,23,1,3273,
241,24,1,3323,
242,18,1,3220,
243,24,1,3317,
244,24,1,227,
245,20,1,522,
246,23,1,22289,
247,20,1,3303,
248,23,1,22277,
249,24,1,251,
