id,family,genus,species,common_name
28,Dasyatidae,Hypanus,americanus,Southern stingray
18,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
24,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
19,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
51,Batoidea,Unknown,sp.,Unknown Ray
20,Carcharhinidae,Negaprion,brevirostris,Lemon shark
292,Carcharhinidae,Unknown,sp.,Requiem Shark
50,Selachimorpha,Unknown,sp.,Unknown Shark
21,Sphyrnidae,Sphyrna,mokarran,Great hammerhead shark
26,Urotrygonidae,Urobatis,jamaicensis,Yellow round ray
17,Carcharhinidae,Rhizoprionodon,sp.,Sharpnose shark (Atlantic/Carib)
150,Carcharhinidae,Carcharhinus,leucas,Bull shark
23,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
100,Carcharhinidae,Carcharhinus,longimanus,Oceanic white tip shark
