id,year,depth,visibility,site_id
22465,2016,14.87,12,2
22464,2016,15.61,12,2
22461,2016,15.7,8,2
22460,2016,17.19,12,2
22458,2016,18.59,12,2
22457,2016,15.15,12,2
22456,2016,18.59,12,2
22455,2016,18.59,12,2
22451,2016,11.61,12,2
22449,2016,13.66,12,2
22447,2016,15.33,12,2
22446,2016,13.75,12,2
22444,2016,13.2,8,2
22442,2016,10.79,12,2
22441,2016,11.89,8,2
22439,2016,13.29,12,2
22438,2016,16.43,12,2
22437,2016,37.19,12,2
22435,2016,28.65,12,2
22434,2016,29.87,12,2
22433,2016,32.61,12,2
22431,2016,4.54,12,2
22430,2016,5.21,12,2
22429,2016,3.54,12,2
22428,2016,23.16,8,2
22427,2016,6.8,12,2
22426,2016,4.94,12,2
22425,2016,5.03,12,2
22424,2016,6.89,12,2
22423,2016,5.03,12,2
22422,2016,36.27,12,2
22420,2016,29.87,8,2
22419,2016,32.61,12,2
22309,2016,30.18,15,2
22300,2016,15.42,15,2
22297,2016,14.11,15,2
22294,2016,13.47,15,2
22293,2016,14.69,15,2
22289,2016,15.33,15,2
22284,2016,21.09,15,2
22283,2016,21.55,15,2
22282,2016,24.81,15,2
22281,2016,19.23,15,2
22279,2016,24.99,15,2
22277,2016,26.85,15,2
22276,2016,25.09,15,2
22274,2016,16.64,15,2
22272,2016,34.84,15,2
22269,2016,24.26,15,2
22268,2016,28.62,15,2
22267,2016,27.49,15,2
3336,2016,9.8,25,5
3335,2016,14.6,25,5
3334,2016,14.7,25,5
3332,2016,19,4,5
3331,2016,18.5,4,5
3330,2016,9.3,25,5
3326,2016,8.2,4,5
3324,2016,16,25,5
3323,2016,11.6,25,5
3322,2016,8.5,4,5
3321,2016,14.1,25,5
3319,2016,15.5,25,5
3318,2016,23.3,25,5
3317,2016,13.2,25,5
3316,2016,5.3,25,5
3314,2016,16.7,25,5
3313,2016,18.2,4,5
3310,2016,6.9,25,5
3309,2016,4.6,4,5
3308,2016,8.2,6,5
3307,2016,17.9,25,5
3305,2016,15,25,5
3304,2016,10.7,25,5
3303,2016,17.9,25,5
3298,2016,18,25,5
3297,2016,7.9,25,5
3295,2016,17.9,25,5
3294,2016,6.5,25,5
3292,2016,10.8,25,5
3288,2016,20.8,4,4
3285,2016,6.1,4,4
3284,2016,24.6,4,4
3283,2016,7,4,4
3281,2016,29.9,4,4
3279,2016,28,6,4
3277,2016,7.5,4,4
3276,2016,7,4,4
3275,2016,27,4,4
3273,2016,5.9,4,4
3272,2016,7.3,4,4
3271,2016,20.8,6,4
3268,2016,11.5,4,4
3267,2016,5.9,4,4
3265,2016,23.7,6,4
3264,2016,6.7,4,4
3263,2016,7.3,4,4
3262,2016,24,6,4
3259,2016,22.7,4,4
3257,2016,18.9,6,4
3256,2016,19.8,4,4
3255,2016,24,4,4
3254,2016,7.3,4,4
3252,2016,8.6,4,4
3251,2016,18.5,4,4
3250,2016,21.8,6,4
3244,2016,10.8,6,4
3240,2016,25.2,4,4
